
,5,Automotive
,2,Life Skills
"Which actor played Jack Sparrow in the ""Pirates of the Caribbean"" series?","Johnny Depp","Orlando Bloom","Brad Pitt","Johnny Depp",2,Entertainment
"What is the largest mammal in the world?,African Elephant,Blue Whale,Giraffe,Blue Whale,3,Science/Geography
"Which cryptocurrency is known as 'The Silver to Bitcoin's Gold'?,Ethereum,Litecoin,Ripple,Litecoin,6,Web3
"Which country is the origin of the car brand Hyundai?,Japan,South Korea,China,South Korea,4,Automotive
"What is the main ingredient in guacamole?,Tomato,Avocado,Onion,Avocado,2,Life Skills
"What is the name of the fictional continent where the ""Game of Thrones"" series is set?",Middle-earth,Westeros,Narnia,Westeros,4,Entertainment
"Which planet is known as the 'Red Planet'?,Mars,Jupiter,Saturn,Mars,2,Science/Geography
"What does DAO stand for in blockchain technology?,Digital Asset Organization,Decentralized Autonomous Organization,Distributed Application Operation,Decentralized Autonomous Organization,7,Web3
"What is the primary purpose of a catalytic converter in a car?,Increase fuel efficiency,Reduce exhaust emissions,Boost engine power,Reduce exhaust emissions,5,Automotive
"What is the currency of Japan?,Yen,Won,Yuan,Yen,3,Life Skills
"Who directed the movie ""Titanic""?",Steven Spielberg,James Cameron,Martin Scorsese,James Cameron,4,Entertainment
"What is the chemical symbol for gold?,Au,Ag,Go,Au,4,Science/Geography
"In what year was Bitcoin created?,2005,2008,2012,2008,5,Web3
"Which car brand has a logo featuring a prancing horse?,Porsche,Ferrari,Mustang,Ferrari,3,Automotive
"What is the boiling point of water in Fahrenheit?,212°F,100°F,32°F,212°F,4,Life Skills
"Who is the author of ""The Lord of the Rings""?",J.K. Rowling,George R.R. Martin,J.R.R. Tolkien,J.R.R. Tolkien,3,Entertainment
"Which actor played Jack Sparrow in the ""Pirates of the Caribbean"" series?",Johnny Depp,Orlando Bloom,Brad Pitt,Johnny Depp,2,Entertainment
"What is the main component of the sun?,Oxygen,Hydrogen,Helium,Hydrogen,4,Science/Geography
"Ethereum primarily supports which feature that distinguishes it from Bitcoin?,Smart Contracts,Faster Transactions,Larger Block Size,Smart Contracts,6,Web3
